DateTimeKey,Residual Forecast,RSA Contracted Forecast,Residual Demand,RSA Contracted Demand
2022-03-16 09:00:00,,,24965.935000000001,27581.937000000002
2022-03-16 10:00:00,,,24539.494999999999,27284.785
2022-03-16 11:00:00,,,24407.201000000001,27136.511999999999
2022-03-16 12:00:00,,,24451.800999999999,27092.293000000001
2022-03-16 13:00:00,,,24369.935000000001,27019.206999999999
2022-03-16 14:00:00,,,24830.067999999999,27398.917000000001
2022-03-16 15:00:00,,,25562.201000000001,28012.210999999999
2022-03-16 16:00:00,,,26446.428,28742.546999999999
2022-03-16 17:00:00,,,26953.067999999999,28909.733
2022-03-16 18:00:00,,,27724.210999999999,29357.080000000002
2022-03-16 19:00:00,,,27283.617999999999,29033.325000000001
2022-03-16 20:00:00,,,25401.435000000001,27305.170999999998
2022-03-16 21:00:00,,,23314.800999999999,25212.924999999999
2022-03-16 22:00:00,,,21626.231,23136.751
2022-03-16 23:00:00,,,20742.285,22128.075000000001
2022-03-17 00:00:00,,,20278.067999999999,21604.251
2022-03-17 01:00:00,,,20145.201000000001,21352.446
2022-03-17 19:00:00,,,27802.067999999999,29801.106
2022-03-17 20:00:00,,,25897.280999999999,27808.065999999999
2022-03-17 21:00:00,,,23967.800999999999,25755.778999999999
2022-03-17 22:00:00,,,22349.668000000001,23731.291000000001
2022-03-17 23:00:00,,,21502.935000000001,22626.695
2022-03-17 02:00:00,,,20119.971000000001,21370.639999999999
2022-03-17 03:00:00,,,20311.800999999999,21635.720000000001
2022-03-17 04:00:00,,,21527.800999999999,22845.830000000002
2022-03-17 05:00:00,,,23976.238000000001,25257.094000000001
2022-03-17 06:00:00,,,25598.800999999999,26968.973999999998
2022-03-17 07:00:00,,,25107.800999999999,26934.481
2022-03-17 08:00:00,,,25082.935000000001,27581.772000000001
2022-03-17 09:00:00,,,24737.935000000001,27674.129000000001
2022-03-17 10:00:00,,,24933.981,27871.845000000001
2022-03-17 11:00:00,,,24961.800999999999,27786.044999999998
2022-03-17 12:00:00,,,25225.201000000001,27853.748
2022-03-17 13:00:00,,,25194.935000000001,27702.329000000002
2022-03-17 14:00:00,,,25322.201000000001,27816.556
2022-03-17 15:00:00,,,25629.777999999998,28223.222000000002
2022-03-17 16:00:00,,,26373.935000000001,28906.166000000001
2022-03-17 17:00:00,,,26645.800999999999,28842.671999999999
2022-03-17 18:00:00,,,27707.935000000001,29637.785
2022-03-11 00:00:00,,,22067.897000000001,23017.002
2022-03-11 01:00:00,,,21700.494999999999,22643.052
2022-03-11 02:00:00,,,21607.862000000001,22529.816999999999
2022-03-11 03:00:00,,,21902.973999999998,22772.552
2022-03-11 04:00:00,,,23004.096000000001,23900.289000000001
2022-03-11 05:00:00,,,25358.742999999999,26305.327000000001
2022-03-11 06:00:00,,,26648.884999999998,27693.823
2022-03-11 07:00:00,,,26060.993999999999,27631.936000000002
2022-03-11 08:00:00,,,26422.971000000001,28687.646000000001
2022-03-11 09:00:00,,,26348.123,29005.205999999998
2022-03-11 10:00:00,,,26207.447,29129.651999999998
2022-03-11 11:00:00,,,26349.538,29240.012999999999
2022-03-11 12:00:00,,,26284.057000000001,29107.228999999999
2022-03-11 13:00:00,,,26302.096000000001,28879.512999999999
2022-03-11 14:00:00,,,26359.592000000001,28783.791000000001
2022-03-11 15:00:00,,,26344.285,28758.826000000001
2022-03-11 16:00:00,,,26647.768,28817.873
2022-03-11 17:00:00,,,26960.290000000001,28652.304
2022-03-11 18:00:00,,,27122.958999999999,28624.856
2022-03-11 19:00:00,,,27767.294999999998,29253.174999999999
2022-03-11 20:00:00,,,26811.665000000001,28130.27
2022-03-11 21:00:00,,,25156.649000000001,26405.377
2022-03-11 22:00:00,,,23565.382000000001,24770.620999999999
2022-03-11 23:00:00,,,22507.637999999999,23714.289000000001
2022-03-12 00:00:00,,,21810.431,23000.179
2022-03-12 01:00:00,,,21514.756000000001,22512.027999999998
2022-03-12 02:00:00,,,21363.296999999999,22225.550999999999
2022-03-12 03:00:00,,,21489.994999999999,22288.776999999998
2022-03-12 04:00:00,,,21658,22621.831999999999
2022-03-12 05:00:00,,,22118.655999999999,23256.894
2022-03-12 06:00:00,,,23068.027999999998,24220.642
2022-03-12 07:00:00,,,24512.73,25792.411
2022-03-12 08:00:00,,,25621.582999999999,27311.053
2022-03-12 09:00:00,,,25367.485000000001,27727.716
2022-03-15 23:00:00,,,21338.050999999999,22417.128000000001
2022-03-16 00:00:00,,,20649.668000000001,21686.02
2022-03-16 01:00:00,,,20221.935000000001,21232.958999999999
2022-03-16 02:00:00,,,20146.067999999999,21086.569
2022-03-16 03:00:00,,,20531.668000000001,21412.511999999999
2022-03-16 04:00:00,,,21853.935000000001,22711.998
2022-03-16 05:00:00,,,24556.935000000001,25393.346000000001
2022-03-16 06:00:00,,,26360.800999999999,27230.516
2022-03-16 07:00:00,,,25415.800999999999,26907.253000000001
2022-03-16 08:00:00,,,25268.201000000001,27509.299999999999
2022-03-16 09:00:00,,,24965.935000000001,27581.937000000002
2022-03-16 10:00:00,,,24539.494999999999,27284.785
2022-03-16 11:00:00,,,24407.201000000001,27136.511999999999
2022-03-16 12:00:00,,,24451.800999999999,27092.293000000001
2022-03-16 13:00:00,,,24369.935000000001,27019.206999999999
2022-03-16 14:00:00,,,24830.067999999999,27398.917000000001
2022-03-16 15:00:00,,,25562.201000000001,28012.210999999999
2022-03-16 16:00:00,,,26446.428,28742.546999999999
2022-03-16 17:00:00,,,26953.067999999999,28909.733
2022-03-16 18:00:00,,,27724.210999999999,29357.080000000002
2022-03-16 19:00:00,,,27283.617999999999,29033.325000000001
2022-03-16 20:00:00,,,25401.435000000001,27305.170999999998
2022-03-16 21:00:00,,,23314.800999999999,25212.924999999999
2022-03-16 22:00:00,,,21626.231,23136.751
2022-03-16 23:00:00,,,20742.285,22128.075000000001
2022-03-17 00:00:00,,,20278.067999999999,21604.251
2022-03-17 01:00:00,,,20145.201000000001,21352.446
2022-03-17 02:00:00,,,20119.971000000001,21370.639999999999
2022-03-17 03:00:00,,,20311.800999999999,21635.720000000001
2022-03-17 04:00:00,,,21527.800999999999,22845.830000000002
2022-03-17 05:00:00,,,23976.238000000001,25257.094000000001
2022-03-17 06:00:00,,,25598.800999999999,26968.973999999998
2022-03-17 07:00:00,,,25107.800999999999,26934.481
2022-03-17 08:00:00,,,25082.935000000001,27581.772000000001
2022-03-17 09:00:00,,,24737.935000000001,27674.129000000001
2022-03-17 10:00:00,,,24933.981,27871.845000000001
2022-03-17 11:00:00,,,24961.800999999999,27786.044999999998
2022-03-17 12:00:00,,,25225.201000000001,27853.748
2022-03-17 13:00:00,,,25194.935000000001,27702.329000000002
2022-03-17 14:00:00,,,25322.201000000001,27816.556
2022-03-17 15:00:00,,,25629.777999999998,28223.222000000002
2022-03-17 16:00:00,,,26373.935000000001,28906.166000000001
2022-03-17 17:00:00,,,26645.800999999999,28842.671999999999
2022-03-17 18:00:00,,,27707.935000000001,29637.785
2022-03-17 19:00:00,,,27802.067999999999,29801.106
2022-03-17 20:00:00,,,25897.280999999999,27808.065999999999
2022-03-17 21:00:00,,,23967.800999999999,25755.778999999999
2022-03-17 22:00:00,,,22349.668000000001,23731.291000000001
2022-03-17 23:00:00,,,21502.935000000001,22626.695
2022-03-12 10:00:00,,,24866.190999999999,27651.949000000001
2022-03-12 11:00:00,,,24132.561000000002,27480.223999999998
2022-03-12 12:00:00,,,23635.746999999999,27235.192999999999
2022-03-12 13:00:00,,,23287.132000000001,26883.881000000001
2022-03-12 14:00:00,,,23056.557000000001,26591.606
2022-03-12 15:00:00,,,22898.709999999999,26228.921999999999
2022-03-12 16:00:00,,,23721.295999999998,26446.008999999998
2022-03-12 17:00:00,,,24478.405999999999,26512.355
2022-03-12 18:00:00,,,25675.641,27291.280999999999
2022-03-12 19:00:00,,,26915.260999999999,28163.902999999998
2022-03-12 20:00:00,,,25634.685000000001,26678.136999999999
2022-03-12 21:00:00,,,23972.954000000002,24950.286
2022-03-12 22:00:00,,,22637.294999999998,23722.967000000001
2022-03-12 23:00:00,,,21156.396000000001,22602.487000000001
2022-03-13 00:00:00,,,20385.444,21941.745999999999
2022-03-13 01:00:00,,,20074.483,21643.788
2022-03-13 02:00:00,,,20081.863000000001,21535.212
2022-03-14 13:00:00,,,24897.800999999999,27589.116999999998
2022-03-14 14:00:00,,,24957.067999999999,27766.393
2022-03-14 15:00:00,,,25682.717000000001,28530.299999999999
2022-03-14 16:00:00,,,26544.183000000001,29081.315999999999
2022-03-14 17:00:00,,,27225.393,29594.405999999999
2022-03-14 18:00:00,,,27790.448,29784.950000000001
2022-03-14 19:00:00,,,27516.793000000001,29439.162
2022-03-14 20:00:00,,,25302.662,27264.553
2022-03-14 21:00:00,,,23387.300999999999,25317.031999999999
2022-03-14 22:00:00,,,21600.067999999999,23322.975999999999
2022-03-14 23:00:00,,,20749.567999999999,22225.541000000001
2022-03-15 00:00:00,,,20506.701000000001,21810.746999999999
2022-03-15 01:00:00,,,20677.800999999999,21813.902999999998
2022-03-15 02:00:00,,,20575.035,21617.485000000001
2022-03-15 03:00:00,,,20719.067999999999,21739.616000000002
2022-03-15 04:00:00,,,22053.800999999999,23114.355
2022-03-15 05:00:00,,,24467.394,25509.085999999999
2022-03-13 03:00:00,,,20020.539000000001,21511.878000000001
2022-03-13 04:00:00,,,20440.991999999998,21641.569
2022-03-13 05:00:00,,,20677.305,21927.888999999999
2022-03-13 06:00:00,,,21894.083999999999,23036.129000000001
2022-03-13 07:00:00,,,23639.558000000001,24843.780999999999
2022-03-13 08:00:00,,,24240.014999999999,25999.580000000002
2022-03-13 09:00:00,,,24072.748,26588.977999999999
2022-03-13 10:00:00,,,24004.249,26631.678
2022-03-13 11:00:00,,,24187.080999999998,26677.938999999998
2022-03-13 12:00:00,,,24048.019,26471.027999999998
2022-03-13 13:00:00,,,23804.454000000002,26347.330000000002
2022-03-13 14:00:00,,,23561.542000000001,26023.427
2022-03-13 15:00:00,,,23496.66,25806.014999999999
2022-03-13 16:00:00,,,23846.764999999999,26085.044999999998
2022-03-13 17:00:00,,,24544.243999999999,26501.383000000002
2022-03-13 18:00:00,,,25328.728999999999,27105.143
2022-03-13 19:00:00,,,26365.164000000001,27950.745999999999
2022-03-13 20:00:00,,,25080.275000000001,26594.967000000001
2022-03-13 21:00:00,,,23203.800999999999,24646.698
2022-03-13 22:00:00,,,21368.668000000001,22951.713
2022-03-13 23:00:00,,,20220.800999999999,21825.704000000002
2022-03-14 00:00:00,,,19897.800999999999,21458.375
2022-03-14 01:00:00,,,19499.800999999999,21091.021000000001
2022-03-14 02:00:00,,,19396.535,20923.116999999998
2022-03-14 03:00:00,,,19726.800999999999,21081.776999999998
2022-03-14 04:00:00,,,21117.800999999999,22407.451000000001
2022-03-14 05:00:00,,,23786.935000000001,24992.059000000001
2022-03-14 06:00:00,,,25558.255000000001,26754.091
2022-03-14 07:00:00,,,25186.800999999999,26557.548999999999
2022-03-14 08:00:00,,,25831.800999999999,27474.996999999999
2022-03-14 09:00:00,,,25614.935000000001,27755.059000000001
2022-03-14 10:00:00,,,25606.485000000001,27869.524000000001
2022-03-14 11:00:00,,,25104.131000000001,27672.311000000002
2022-03-14 12:00:00,,,24774.935000000001,27539.174999999999
2022-03-15 06:00:00,,,26277.261999999999,27328.881000000001
2022-03-15 07:00:00,,,25646.053,27077.726999999999
2022-03-15 08:00:00,,,25656.917000000001,27667.776999999998
2022-03-15 09:00:00,,,25391.800999999999,27797.009999999998
2022-03-15 10:00:00,,,24758.935000000001,27287.699000000001
2022-03-15 11:00:00,,,24979.564999999999,27526.565999999999
2022-03-15 12:00:00,,,24965.935000000001,27395.66
2022-03-15 13:00:00,,,24746.935000000001,27245.047999999999
2022-03-15 14:00:00,,,24886.935000000001,27421.115000000002
2022-03-15 15:00:00,,,25347.201000000001,27848.983
2022-03-15 16:00:00,,,26105.978999999999,28430.697
2022-03-15 17:00:00,,,26838.042000000001,28786.773000000001
2022-03-15 18:00:00,,,28067.824000000001,29431.328000000001
2022-03-15 19:00:00,,,27953.366000000002,29447.759999999998
2022-03-15 20:00:00,,,25768.656999999999,27378.527999999998
2022-03-15 21:00:00,,,23500.413,25168.901999999998
2022-03-15 22:00:00,,,22104.935000000001,23345.294000000002
2022-03-11 00:00:00,,,22067.897000000001,23017.002
2022-03-11 01:00:00,,,21700.494999999999,22643.052
2022-03-11 02:00:00,,,21607.862000000001,22529.816999999999
2022-03-11 03:00:00,,,21902.973999999998,22772.552
2022-03-11 04:00:00,,,23004.096000000001,23900.289000000001
2022-03-11 05:00:00,,,25358.742999999999,26305.327000000001
2022-03-11 06:00:00,,,26648.884999999998,27693.823
2022-03-11 07:00:00,,,26060.993999999999,27631.936000000002
2022-03-11 08:00:00,,,26422.971000000001,28687.646000000001
2022-03-11 09:00:00,,,26348.123,29005.205999999998
2022-03-11 10:00:00,,,26207.447,29129.651999999998
2022-03-11 11:00:00,,,26349.538,29240.012999999999
2022-03-11 12:00:00,,,26284.057000000001,29107.228999999999
2022-03-11 13:00:00,,,26302.096000000001,28879.512999999999
2022-03-11 14:00:00,,,26359.592000000001,28783.791000000001
2022-03-11 15:00:00,,,26344.285,28758.826000000001
2022-03-11 16:00:00,,,26647.768,28817.873
2022-03-11 17:00:00,,,26960.290000000001,28652.304
2022-03-11 18:00:00,,,27122.958999999999,28624.856
2022-03-11 19:00:00,,,27767.294999999998,29253.174999999999
2022-03-11 20:00:00,,,26811.665000000001,28130.27
2022-03-11 21:00:00,,,25156.649000000001,26405.377
2022-03-11 22:00:00,,,23565.382000000001,24770.620999999999
2022-03-11 23:00:00,,,22507.637999999999,23714.289000000001
2022-03-12 00:00:00,,,21810.431,23000.179
2022-03-12 01:00:00,,,21514.756000000001,22512.027999999998
2022-03-12 02:00:00,,,21363.296999999999,22225.550999999999
2022-03-12 03:00:00,,,21489.994999999999,22288.776999999998
2022-03-12 04:00:00,,,21658,22621.831999999999
2022-03-12 05:00:00,,,22118.655999999999,23256.894
2022-03-12 06:00:00,,,23068.027999999998,24220.642
2022-03-12 07:00:00,,,24512.73,25792.411
2022-03-12 08:00:00,,,25621.582999999999,27311.053
2022-03-12 09:00:00,,,25367.485000000001,27727.716
2022-03-12 10:00:00,,,24866.190999999999,27651.949000000001
2022-03-12 11:00:00,,,24132.561000000002,27480.223999999998
2022-03-12 12:00:00,,,23635.746999999999,27235.192999999999
2022-03-12 13:00:00,,,23287.132000000001,26883.881000000001
2022-03-12 14:00:00,,,23056.557000000001,26591.606
2022-03-12 15:00:00,,,22898.709999999999,26228.921999999999
2022-03-12 16:00:00,,,23721.295999999998,26446.008999999998
2022-03-12 17:00:00,,,24478.405999999999,26512.355
2022-03-12 18:00:00,,,25675.641,27291.280999999999
2022-03-12 19:00:00,,,26915.260999999999,28163.902999999998
2022-03-12 20:00:00,,,25634.685000000001,26678.136999999999
2022-03-12 21:00:00,,,23972.954000000002,24950.286
2022-03-12 22:00:00,,,22637.294999999998,23722.967000000001
2022-03-12 23:00:00,,,21156.396000000001,22602.487000000001
2022-03-13 00:00:00,,,20385.444,21941.745999999999
2022-03-13 01:00:00,,,20074.483,21643.788
2022-03-13 02:00:00,,,20081.863000000001,21535.212
2022-03-13 03:00:00,,,20020.539000000001,21511.878000000001
2022-03-13 04:00:00,,,20440.991999999998,21641.569
2022-03-13 05:00:00,,,20677.305,21927.888999999999
2022-03-13 06:00:00,,,21894.083999999999,23036.129000000001
2022-03-13 07:00:00,,,23639.558000000001,24843.780999999999
2022-03-13 08:00:00,,,24240.014999999999,25999.580000000002
2022-03-13 09:00:00,,,24072.748,26588.977999999999
2022-03-13 10:00:00,,,24004.249,26631.678
2022-03-13 11:00:00,,,24187.080999999998,26677.938999999998
2022-03-13 12:00:00,,,24048.019,26471.027999999998
2022-03-13 13:00:00,,,23804.454000000002,26347.330000000002
2022-03-13 14:00:00,,,23561.542000000001,26023.427
2022-03-13 15:00:00,,,23496.66,25806.014999999999
2022-03-13 16:00:00,,,23846.764999999999,26085.044999999998
2022-03-13 17:00:00,,,24544.243999999999,26501.383000000002
2022-03-13 18:00:00,,,25328.728999999999,27105.143
2022-03-13 19:00:00,,,26365.164000000001,27950.745999999999
2022-03-13 20:00:00,,,25080.275000000001,26594.967000000001
2022-03-13 21:00:00,,,23203.800999999999,24646.698
2022-03-13 22:00:00,,,21368.668000000001,22951.713
2022-03-13 23:00:00,,,20220.800999999999,21825.704000000002
2022-03-14 00:00:00,,,19897.800999999999,21458.375
2022-03-14 01:00:00,,,19499.800999999999,21091.021000000001
2022-03-14 02:00:00,,,19396.535,20923.116999999998
2022-03-14 03:00:00,,,19726.800999999999,21081.776999999998
2022-03-14 04:00:00,,,21117.800999999999,22407.451000000001
2022-03-14 05:00:00,,,23786.935000000001,24992.059000000001
2022-03-14 06:00:00,,,25558.255000000001,26754.091
2022-03-14 07:00:00,,,25186.800999999999,26557.548999999999
2022-03-14 08:00:00,,,25831.800999999999,27474.996999999999
2022-03-14 09:00:00,,,25614.935000000001,27755.059000000001
2022-03-14 10:00:00,,,25606.485000000001,27869.524000000001
2022-03-14 11:00:00,,,25104.131000000001,27672.311000000002
2022-03-14 12:00:00,,,24774.935000000001,27539.174999999999
2022-03-14 13:00:00,,,24897.800999999999,27589.116999999998
2022-03-14 14:00:00,,,24957.067999999999,27766.393
2022-03-14 15:00:00,,,25682.717000000001,28530.299999999999
2022-03-14 16:00:00,,,26544.183000000001,29081.315999999999
2022-03-14 17:00:00,,,27225.393,29594.405999999999
2022-03-14 18:00:00,,,27790.448,29784.950000000001
2022-03-14 19:00:00,,,27516.793000000001,29439.162
2022-03-14 20:00:00,,,25302.662,27264.553
2022-03-14 21:00:00,,,23387.300999999999,25317.031999999999
2022-03-14 22:00:00,,,21600.067999999999,23322.975999999999
2022-03-14 23:00:00,,,20749.567999999999,22225.541000000001
2022-03-15 00:00:00,,,20506.701000000001,21810.746999999999
2022-03-15 01:00:00,,,20677.800999999999,21813.902999999998
2022-03-15 02:00:00,,,20575.035,21617.485000000001
2022-03-15 03:00:00,,,20719.067999999999,21739.616000000002
2022-03-15 04:00:00,,,22053.800999999999,23114.355
2022-03-15 05:00:00,,,24467.394,25509.085999999999
2022-03-15 06:00:00,,,26277.261999999999,27328.881000000001
2022-03-15 07:00:00,,,25646.053,27077.726999999999
2022-03-15 08:00:00,,,25656.917000000001,27667.776999999998
2022-03-15 09:00:00,,,25391.800999999999,27797.009999999998
2022-03-15 10:00:00,,,24758.935000000001,27287.699000000001
2022-03-15 11:00:00,,,24979.564999999999,27526.565999999999
2022-03-15 12:00:00,,,24965.935000000001,27395.66
2022-03-15 13:00:00,,,24746.935000000001,27245.047999999999
2022-03-15 14:00:00,,,24886.935000000001,27421.115000000002
2022-03-15 15:00:00,,,25347.201000000001,27848.983
2022-03-15 16:00:00,,,26105.978999999999,28430.697
2022-03-15 17:00:00,,,26838.042000000001,28786.773000000001
2022-03-15 18:00:00,,,28067.824000000001,29431.328000000001
2022-03-15 19:00:00,,,27953.366000000002,29447.759999999998
2022-03-15 20:00:00,,,25768.656999999999,27378.527999999998
2022-03-15 21:00:00,,,23500.413,25168.901999999998
2022-03-15 22:00:00,,,22104.935000000001,23345.294000000002
2022-03-15 23:00:00,,,21338.050999999999,22417.128000000001
2022-03-16 00:00:00,,,20649.668000000001,21686.02
2022-03-16 01:00:00,,,20221.935000000001,21232.958999999999
2022-03-16 02:00:00,,,20146.067999999999,21086.569
2022-03-16 03:00:00,,,20531.668000000001,21412.511999999999
2022-03-16 04:00:00,,,21853.935000000001,22711.998
